1687463404.213		129212	296	80	128684	152	128681	26	366	0	200
1687463404.360		126755	277	127	126192	159	126190	26	366	0	200
1687463404.507		111780	287	74	111360	59	111364	26	366	0	200
1687463404.655		125380	238	84	124904	154	124901	26	366	0	200
1687463404.802		119893	278	74	119383	158	119380	26	366	0	200
1687463404.949		127072	297	71	126565	139	126564	26	366	0	200
1687463405.093		86268	201	50	85914	103	85912	26	366	0	200
1687463405.239		43630	126	23	43429	52	43427	26	366	0	200
1687463405.384		172124	266	83	171701	74	171704	26	366	0	200
1687463405.529		61009	192	65	60694	58	60698	26	366	0	200
1687463405.672		130114	272	71	129631	140	129627	26	366	0	200
1687463405.815		120742	255	73	120281	133	120280	26	366	0	200
1687463405.959		129230	289	68	128727	146	128724	26	366	0	200
1687463406.101		115533	324	100	115027	82	115035	26	366	0	200
1687463406.244		46477	153	37	46227	60	46227	26	366	0	200
1687463406.386		127597	299	78	127084	136	127083	26	366	0	200
1687463406.526		114067	283	69	113655	60	113658	26	366	0	200
1687463406.668		133361	284	72	132894	111	132894	26	366	0	200
1687463406.809		147682	261	88	147234	99	147239	26	366	0	200
1687463406.948		85443	180	47	85112	104	85111	26	366	0	200
1687463407.089		109622	251	88	109178	105	109180	26	366	0	200
1687463407.228		87627	228	53	87239	107	87235	26	366	0	200
1687463407.367		47735	108	28	47549	50	47546	26	366	0	200
1687463407.504		43369	88	21	43206	54	43202	26	366	0	200
1687463407.643		126086	301	79	125548	158	125537	26	366	0	200
1687463407.781		119383	356	94	118798	135	118800	26	366	0	200
1687463407.917		133885	330	72	133343	140	133343	26	366	0	200
1687463408.054		89854	225	68	89513	48	89519	26	366	0	200
1687463408.191		50109	127	27	49885	70	49882	26	366	0	200
1687463408.327		130419	304	77	129937	101	129939	26	366	0	200
1687463408.463		78688	155	39	78422	72	78421	26	366	0	200
1687463408.598		41950	91	20	41773	66	41772	26	366	0	200
1687463408.734		40079	109	22	39892	56	39888	26	366	0	200
1687463408.869		128937	307	78	128394	158	128394	26	366	0	200
1687463409.002		124641	211	64	124248	118	124247	26	366	0	200
1687463409.136		67505	137	38	67265	65	67264	26	366	0	200
1687463409.271		121848	287	70	121329	162	121328	26	366	0	200
1687463409.404		188895	175	56	188590	74	188592	26	366	0	200
1687463409.537		92900	250	66	92534	50	92541	26	366	0	200
1687463409.669		43493	121	25	43283	64	43281	26	366	0	200
1687463409.801		42860	121	31	42655	53	42655	26	366	0	200
